码	调整前	调整后
xluh	向上、心领神会、希腊神话	向上、镶上、心领神会、希腊神话
xlui	相识、详实、像是、相视、翔实	像是、相识、详实、相视、翔实
xluj	香山、向善、象山、心力衰竭	向善、香山、心力衰竭、象山
xluo	想说	想说、详说
xluv	香水、响水、降龙十八掌	香水、降龙十八掌、响水
xluy	洗脸刷牙、衖	祥顺、衖、洗脸刷牙
xlvc	想找	想找、相照
xlve	向着、想着	想着、向着
xlvh	香樟、像章、醒来之后	香樟、醒来之后、像章
xlvi	相知、响指	响指、相知
xlvs	相中	相中、乡中
xlvu	香烛、相助、心理战术	相助、香烛、心理战术
xlwd	向外	向外、想歪
xlwf	想问	想问、相闻
xlwj	向晚、想玩	想玩、向晚
xlwu	闲来无事、心理卫生	香雾、闲来无事、心理卫生
xlxl	想想、想象、相像、想像、相向、湘乡	想象、想想、相像、想像、相向、湘乡
xlxm	象限、乡贤	象限、想先、乡贤
xlxp	薌	薌、想写、想些
xlxt	向学、想学	想学、向学
xlxu	相许、狭路相逢勇者胜	相许、相续、狭路相逢勇者胜
xlxx	乡下、向下	向下、乡下
xlyb	乡音	乡音、相印
xlye	乡野	乡野、想也
xlyh	像样、向阳、襄阳、新老用户、想了一会	像样、向阳、想了一会、新老用户、襄阳
xlyi	相宜、相依、心里一沉	相依、相宜、心里一沉
xlys	享用、训练有素、心理因素	想用、享用、训练有素、心理因素
xlyu	相遇、项羽、香芋、享誉、心里有数、心理医生	相遇、项羽、心理医生、心里有数、香芋、享誉
xmai	腺癌、险隘	险隘、腺癌
xman	獻	獻、先按
xmbc	献宝、纤薄、瀗	献宝、先报、瀗、纤薄
xmbh	项目编号	先帮、项目编号
xmbi	闲笔	先比、闲笔
xmbj	县办、线板、项目背景	线板、县办、项目背景
xmbp	涎、险别	涎、先别、险别
xmbu	闲步	先不、闲步
xmch	项目策划	现藏、项目策划
xmci	献词	限次、献词
xmcv	憪	憪、鲜翠
xmdc	先导、䜢	先到、䜢、先导
xmdd	现代、醒目担当	现代、线代、醒目担当
xmdg	氙灯、譣	氙灯、譣、先登
xmdj	仙丹、咸淡、咸蛋、鲜蛋、消磨殆尽、项目对接、誸	仙丹、咸淡、消磨殆尽、项目对接、咸蛋、鲜蛋、誸
xmdm	限电	先点、限电
xmdn	䊱	䊱、掀掉、线雕
xmdr	线段	线段、险段
xmds	掀动	先动、掀动
xmer	燹、馅儿、仙儿	燹、仙儿、馅儿
xmff	县份	县份、先分
xmfu	县府、先富、纤夫、先父	现付、先富、县府、纤夫、先父
xmfv	迅猛发展、血脉偾张、僊、僩	血脉偾张、迅猛发展、僊、僩
xmfw	僲	僲、掀飞、先飞
xmgo	鲜果	鲜果、先过
xmgs	仙宫、险工	先攻、仙宫、险工
xmgv	显贵、嫌贵	嫌贵、显贵
xmgw	献给	献给、先给
xmgx	兄妹关系	现挂、兄妹关系
xmhe	仙鹤、显赫、先河	显赫、仙鹤、先河
xmhk	先慢后快	显怀、先慢后快
xmhl	甉	甉、先皇、闲晃
xmhr	显宦、嘕	先换、嘕、显宦
xmhu	险乎、仙湖	仙湖、险乎
xmhy	㘅	㘅、仙魂
xmia	宪	宪、先查
xmih	现场、县长、纤长	现场、纤长、县长
xmij	限产	限产、纤颤
xmis	线虫、现充	现充、线虫
xmiu	显出、献出、现出	献出、显出、现出
xmiz	献丑	献丑、嫌丑
xmjl	现将	现将、先将
xmjm	先见、鲜见、仙剑	仙剑、先见、鲜见
xmjn	现浇、䃸、纖、繊、纎、䃱	现浇、䃸、纖、繊、纎、䃱、先叫
xmjt	先决	先决、显爵
xmju	闲居、仙居、项目介绍	闲居、现居、项目介绍、仙居
xmjx	限价、现价、仙家、血脉觉醒	现价、限价、仙家、血脉觉醒
xmkd	掀开	掀开、先开
xmkh	下马看花、麙、铦	纤康、麙、铦、下马看花
xmkk	衔	衔、先快、显快
xmkr	现款	现款、限宽
xmle	仙乐	闲了、掀了、献了、仙乐
xmlg	掀	掀、嫌冷
xmli	先例、献礼、县里、小马拉大车	先例、献礼、小马拉大车、县里
xmlk	显灵、县令、先令、限令	县令、显灵、先令、限令
xmll	限量、贤良、鲜亮	限量、鲜亮、贤良
xmlo	暹罗、陷落	陷落、暹罗
xmlu	线路、显露	显露、线路
xmlv	鲜绿、撊	仙侣、撊、鲜绿
xmlw	搟	搟、嫌累、藓类
xmly	挦、喜马拉雅、醒目留言、撏	挦、弦论、喜马拉雅、撏、醒目留言
xmma	䵌、蜆、毨	䵌、蜆、毨、线吗、线麻
xmmc	纤毛、䘆、蛝	仙茅、䘆、蛝、纤毛
xmmi	籼米	籼米、纤密
xmmj	蚿	蚿、嫌慢、显慢
xmmm	线面、限免	限免、线面
xmna	䙹、䝨	䙹、䝨、先拿、掀哪
xmnf	鲜嫩	鲜嫩、显嫩
xmnq	䯭、䯹	䯭、䯹、弦钮
xmnw	县内	县内、线内
xmpb	鲜品、小米平板	仙品、鲜品、小米平板
xmpc	限、䧮	限、䧮、先跑
xmpn	献、韯	献、韯、现票
xmqi	嫌弃、掀起、限期、仙气、贤妻、先期	掀起、嫌弃、限期、仙气、贤妻、先期
xmqk	险情、闲情	闲情、险情
xmqn	纤巧、显、仙桥	仙桥、显、纤巧
xmqp	暹	暹、现切、线切
xmqq	险球	先求、险球
xmqr	线圈、㬎、项目确认、㬗	线圈、㬎、线权、㬗、项目确认
xmrf	现任、闲人、仙人、先人、贤人	仙人、现任、闲人、先人、贤人
xmrh	咸	咸、先让
xmrs	显荣、先容	先容、显荣
xmru	陷入	陷入、鲜乳
xmsu	限速	限速、线速
xmsy	线损、臽	线损、臽、贤孙
xmtc	仙桃	仙桃、鲜桃
xmtg	星鸣特工	嫌疼、星鸣特工
xmts	仙童	先同、仙童
xmua	羡煞	羡煞、先杀
xmuf	献身、现身、刑满释放	现身、献身、刑满释放
xmul	卸磨杀驴	鲜爽、卸磨杀驴
xmuu	娴熟、仙术、贤淑、夏目漱石	娴熟、仙术、夏目漱石、贤淑
xmuv	咸水、先睡、褼	先睡、咸水、褼
xmux	线刷	先刷、线刷
xmuz	纤手、先手、纤瘦	先手、纤手、纤瘦
xmvc	先兆	先兆、先找
xmvf	陷阵、县镇	县镇、陷阵
xmvj	小米之家、胘	先占、胘、小米之家
xmvl	现状	现状、线状
xmvs	险种	险种、鲜重
xmvv	下面这种、谢幕之战、㔾	线坠、下面这种、㔾、谢幕之战
xmvx	下面这些	先抓、下面这些
xmvz	线轴	线轴、仙洲
xmwd	邪门歪道、邪魔外道、项目文档	线外、邪门歪道、邪魔外道、项目文档
xmwf	先问	先问、献吻
xmwo	闲、䦥、閑	闲、䦥、閑、嫌我
xmxk	现行、藓、线性、先行、限行、现形、显性、显形、线形、蘚	线性、藓、现行、先行、限行、现形、显性、显形、线形、蘚
xmxn	显效	显小、显效
xmxp	险些	险些、先写
xmxq	纤秀	纤秀、先修
xmxx	闲暇、线下	线下、闲暇
xmxy	像模像样、小磨香油、苮、䕔	先训、像模像样、苮、䕔、小磨香油
xmyj	显眼、鲜艳、先验、信马由缰、蓄谋已久	鲜艳、显眼、蓄谋已久、先验、信马由缰
xmyr	鱻	鱻、仙缘
xmyu	咸鱼、限于、闲鱼、陷于、鲜鱼、县域、先于	限于、咸鱼、闲鱼、陷于、鲜鱼、县域、先于
xmyy	闲云、虾米音乐、䱤、䲗	闲云、显孕、䱤、䲗、虾米音乐
xmzc	险遭	险遭、嫌早
xmzh	嫌、㛾	嫌、㛾、嫌脏
xmzi	仙子	仙子、蚬子
xmzo	娴、闲坐、嫻	娴、先做、嫻、闲坐
xmzs	仙踪	仙踪、咸棕、仙宗
xmzu	险阻、先祖	先祖、险阻
xmzy	奾	奾、仙尊
xmzz	见	见、先走
xnba	潇、小巴、瀟	潇、笑吧、瀟、校霸、肖八、小巴
xnbc	小包、小报、小宝	小包、小宝、小报
xnbi	小臂	小臂、小婢
xnbj	小班、校办	小班、小版、校办
xnbk	小兵、笑柄	笑柄、小兵
xnbn	洨、涍	洨、涍、小标、小表
xnbw	小辈	小辈、小被
xncc	小草	小草、校草
xnco	小错	小错、小撮
xndc	小刀、小道、小岛、孝道	笑道、小刀、小道、小岛、孝道
xndd	小袋	小袋、小代
xnde	晓得	晓得、笑得
xndg	小灯	小灯、小凳
xndm	笑点、小店、小点	小店、笑点、小点
xndn	消掉、虓、訤、誟、詨	削掉、虓、訤、誟、詨、消掉
xnds	小洞	小洞、校董
xndv	小队、校对、校队、誵	小队、校队、校对、誵
xnfg	校风、小风	小风、校风
xnfu	校服、小腹	小腹、校服
xngr	小官	小官、销冠
xngs	削、小工	削、宵宫、小工
xngx	小褂	小瓜、小褂
xnhk	新年贺卡	笑坏、新年贺卡
xnih	小肠、笑场、消长	笑场、小肠、消长
xnil	小床、小窗	小窗、小床
xniv	宵	宵、小锤
xniy	小春、性能差异	性能差异、小春
xnjm	削减、小件	小件、削减
xnjp	小姐、消解、小节、小结、小街、小解、虚拟键盘	小姐、消解、虚拟键盘、小节、小结、小街、小解
xnjq	小舅	小酒、小舅
xnjx	销价、小家、削价	小家、销价、削价
xnkc	小考	小考、校考
xnla	㩋	㩋、笑拉
xnle	笑了	笑了、消了、削了
xnlh	小狼	小狼、笑浪
xnll	销量、仙女落泪	销量、小亮、仙女落泪
xnls	小龙、骁龙	骁龙、小龙
xnlu	小路、销路、小鹿	小路、小鹿、销路
xnmb	小民、消泯	消泯、小民
xnmg	晓梦	小梦、晓梦
xnmk	小明、小名、小命、晓明、校名、效命	小明、小命、小名、晓明、校名、效命
xnmo	消磨、蟂	消磨、蟂、小磨
xnnn	小鸟	小鸟、笑尿
xnnq	小牛、效、小妞	小妞、效、小牛
xnnr	㚠	㚠、小暖
xnnt	殽	殽、小虐
xnpg	小棚、小鹏	小鹏、小棚
xnqi	小气、消气、小憩、笑气	小气、消气、笑气、小憩
xnqn	小巧、小乔、小瞧、小桥	小瞧、小巧、小乔、小桥
xnqp	小妾	小妾、削切
xnqr	小圈、小泉	小泉、小圈
xnqt	小雀	消缺、小雀
xnsh	小嗓	小桑、小嗓
xnsi	小厮、笑死	笑死、小厮、肖四
xnsj	小三、消散	消散、小三
xnso	萧索	萧索、小锁
xnsv	痟	痟、小随、小碎
xnsy	消损、小孙	小孙、消损
xntj	小摊、笑谈	笑谈、小摊
xntn	小调、萧条	萧条、小调
xntp	小铁	小铁、小帖
xnts	晓彤、小童	小童、晓彤
xntu	小图、小兔	小兔、小图
xnty	小屯	小屯、消褪
xnua	笑煞、髐	笑啥、髐、笑煞
xnui	小时、消失、消逝、小事、消食、小试、小视	消失、小时、消逝、小事、消食、小试、小视
xnuj	萧山、小山、虚拟世界	小山、萧山、虚拟世界
xnuu	小树、小数、消暑、小叔、小暑	小数、小树、消暑、小叔、小暑
xnuv	小睡、小水	小水、小睡
xnvj	小站	小站、肖战
xnvo	小桌、小酌	小酌、小桌
xnvr	小篆	小篆、小赚
xnvz	小舟、小周	小周、小舟
xnwh	消亡、小王、销往	消亡、销往、小王
xnwo	小窝	笑我、小窝
xnwu	小屋、校务	小屋、小舞、校务
xnxi	消息、小溪、小戏	消息、小溪、笑嘻、小戏
xnxt	小学、小雪	小学、小雪、小穴
xnxx	消夏、新年新气象	小虾、新年新气象、消夏
xnye	宵夜、小叶、小爷、消夜、笑靥	宵夜、小爷、小叶、消夜、笑靥
xnyh	小样、小鸟游六花	小鸟游六花、小样
xnyi	效益、笑意、小姨、校医、孝义	笑意、效益、小姨、校医、孝义
xnyj	硝烟、消炎、校验、笑颜	消炎、硝烟、萧炎、校验、笑颜
xnyk	效应、小樱	效应、小赢、小樱
xnyu	小雨、小于、小鱼、笑语、小语、血浓于水	小雨、小于、血浓于水、小鱼、笑语、小语
xnyy	皛、像你一样	皛、笑晕、像你一样
xnze	小泽	小泽、小则
xnzo	䟁	䟁、小左
xpbi	笑贫不笑娼	歇逼、笑贫不笑娼
xpbn	泻、瀣	泻、瀣、鞋标
xpce	㥟	㥟、斜侧
xpci	写词	写词、谢辞
xpdd	携带、鞋带、懈怠、血袋	携带、懈怠、鞋带、血袋
xpdm	鞋垫、鞋店	鞋垫、鞋店、邪典
xpdv	糏	糏、写对、斜对
xpfh	血防、协防、新品发布会	协防、斜放、新品发布会、血防
xpfu	歇伏	鞋服、歇伏
xpgc	写稿、蟹膏、斜高	写稿、斜高、蟹膏
xpge	齥	齥、写个
xpgs	歇工	歇工、邪功
xpgv	鞋柜	鞋柜、邪鬼
xphf	血痕、泄恨	泄恨、血痕
xpho	卸货、泻火、邪火	泻火、邪火、卸货
xphs	血红、泄洪	泄洪、血红
xphx	㖑	㖑、写话
xpia	协查、屓	协查、屓、斜插
xpio	屟、屧	屟、屧、斜戳
xpir	冩、寫	冩、寫、斜传、卸船
xpjb	泄劲	写进、泄劲
xpjm	血检	鞋尖、血检
xpjx	鞋架	鞋架、歇假
xpke	蟹壳、谢客	谢客、蟹壳
xpkz	血口	卸扣、血口
xpld	吓破了胆	写来、吓破了胆
xple	写了	写了、谢了
xpll	血量、歇凉	歇凉、血量
xpln	挟、揳、㨙、韰	挟、揳、㨙、韰、卸料
xplp	拹	拹、邪猎
xpmj	亵慢	写满、亵慢
xpmw	蝎、邪魅、血霉	蝎、邪魅、卸煤、血霉
xpnk	血凝	邪佞、血凝
xpnm	邪念	邪念、些年
xppc	勰、血泡	勰、斜抛、血泡
xppm	写篇	写篇、卸片
xppo	斜坡、胁迫	胁迫、斜坡
xppp	协、劦、協	协、劦、協、斜瞥
xpqp	旪	旪、斜切
xpqt	谢却	楔缺、谢却
xpqu	撷取	写去、撷取
xpqx	䀘	䀘、协洽
xpri	灺、炧	灺、炧、斜日
xpsi	血丝	写死、血丝
xpth	血糖、斜躺、垥	斜躺、血糖、垥
xpti	斜体	斜体、泄题
xptm	翓	翓、谢天
xpto	㐖	㐖、鞋托
xptv	㙝	㙝、蟹腿
xpuu	邪术、血书、写书、新品上市	写书、邪术、新品上市、血书
xpuv	血水、㣯	泄水、㣯、血水
xpvi	血脂、挟制	挟制、血脂
xpwf	斜纹	写文、斜纹
xpwh	血旺、㗨、䦖	邪王、㗨、䦖、血旺
xpwj	絜、亵玩、写完	絜、写完、亵玩
xpwu	血污	邪物、鞋屋、血污
xpxl	血象、斜向、嬉皮笑脸、嘻皮笑脸	斜向、嬉皮笑脸、血象、嘻皮笑脸
xpxp	谢谢、歇歇、䔑	谢谢、歇歇、䔑、蟹蟹
xpxr	䕵、藛	䕵、藛、鞋楦
xpxt	谐谑	谐谑、谢雪
xpxx	卸下、写下	写下、卸下
xpyb	谐音、血印、鞋印、邪淫、齂	谐音、鞋印、邪淫、血印、齂
xpyh	血样、斜阳、鞋样	斜阳、鞋样、血样
xpyu	泄欲	泄欲、写于
xpze	卸责	谢泽、卸责
xpzu	血族	邪祖、血族
xqbl	修桥补路、掀起波澜、兴趣部落	掀起波澜、兴趣部落、修桥补路
xqdc	修道、嗅到	嗅到、修道
xqfj	小区附近	秀翻、小区附近
xqfu	修复	修复、休夫
xqgz	辛勤工作	修勾、修狗、辛勤工作
xqji	秀吉、锈迹	锈迹、秀吉
xqll	小巧玲珑、想起来了	想起来了、小巧玲珑
xqmu	朽木、凶禽猛兽	朽木、修墓、凶禽猛兽
xqsr	兴趣索然	溴酸、兴趣索然
xqui	修饰、修士、锈蚀、心情舒畅	修饰、锈蚀、修士、心情舒畅
xquj	修缮、秀山、消遣时间	修缮、修善、消遣时间、秀山
xqvg	休整、修正、修整	修正、休整、修整
xqxq	羞羞、咻咻、修修	羞羞、修修、咻咻、嗅嗅
xqyj	岫岩	岫岩、嗅盐
xqyt	鱃	鱃、秀月
xrbj	泫	泫、选班
xrbm	选编	选编、选边
xrbn	渲、显然不能	渲、选表、显然不能
xrcs	旭日初升	璇琮、旭日初升
xrdd	羞人答答	悬带、羞人答答
xrde	宣德	玄德、宣德
xrdm	陷入低迷	选点、陷入低迷
xrdv	小人得志	选对、小人得志
xrfw	喧沸	选妃、喧沸
xrgc	宣告	宣告、选稿
xrgl	眩光、炫光	炫光、眩光
xrgz	选购	选购、炫狗
xrhj	宣汉、先人后己	先人后己、宣汉
xrho	眩惑、选货	选货、眩惑
xrih	选场	选厂、选场
xris	券、陷入沉思	券、选重、陷入沉思
xrjb	旋紧	旋紧、玄金
xrji	玄机、旋即、炫技、选集	旋即、玄机、炫技、选集
xrjk	玄晶、縼、䃠	玄晶、縼、䃠、玄静
xrjl	宣讲	宣讲、宣降
xrjn	碹、宣教、选角、喧叫、縇	碹、宣教、喧叫、选角、縇
xrjq	绚、絢	绚、絢、宣酒
xrlj	绚烂	绚烂、玄览
xrlq	选留、旋流、㧦	旋流、选留、㧦
xrmk	玄冥、蜁	玄冥、蜁、宣明
xrni	渲染农场	选你、宣你、渲染农场
xrnk	颴	颴、玄宁
xrnv	駽	駽、玄女
xrnw	軒	軒、旋内
xrpb	选聘	选聘、选品
xrqi	悬起	玄奇、悬起
xrqk	暶、选情、䁢	暶、玄清、䁢、选情
xrqn	暄、晅、睻	暄、晅、睻、悬桥
xrqq	䁔、眴、矎、昍	䁔、眴、矎、昍、旋球
xrsj	痃	痃、玄三
xrtn	选调、塇	悬挑、塇、选调
xrtu	心如铁石	选图、心如铁石
xruh	悬赏	悬赏、选上
xruj	袨	袨、炫闪
xruu	悬殊	悬殊、选书
xrvc	宣召	宣召、宣昭
xrvx	小人之心、虾仁猪心	虾仁猪心、小人之心
xrvy	笑容转移	选准、笑容转移
xrwh	悬望、㔯	悬望、㔯、选网
xrwu	炫舞、玄武、行若无事	玄武、炫舞、行若无事
xrww	宣威	选为、宣威
xrxb	悬心	玄心、悬心
xrxp	宣泄	宣泄、渲泄
xrxt	玄学	玄学、选学
xryj	宣言	宣言、眩眼
xryk	䲂	䲂、玄影、宣英
xryu	选育	选育、悬于
xrzd	欣然自得	悬在、欣然自得
xsan	凶案	凶案、雄安
xsbh	心思不好	凶榜、心思不好
xsbk	雄兵	雄兵、熊兵
xsbw	汹、洶	汹、洶、胸背
xsda	胸大	胸大、熊大
xsdw	讻、訩、詾	讻、訩、詾、兄嘚
xsih	兄长	兄长、雄长
xsiz	相思成灾	雄臭、相思成灾
xsjk	胸径、细思极恐	胸径、雄竞、细思极恐
xsju	雄踞	雄踞、雄居
xsmj	像素墨镜	凶蛮、像素墨镜
xsmo	胸膜	胸膜、胸模
xspi	熊皮、稀松平常	熊罴、熊皮、稀松平常
xsvf	胸针	胸针、凶真
xsvi	相似之处	雄志、相似之处
xsxk	雄性、胸型	雄性、凶性、胸型
xsyi	胸衣、胸臆	胸臆、胸衣
xsyz	胸有	胸有、兄友
xtaa	血	血、学啊
xtbc	学报、雪豹	雪豹、血包、学报
xtbg	雪崩、先天八卦、协同办公	雪崩、协同办公、先天八卦
xtbn	虚头巴脑、㶅	学婊、㶅、虚头巴脑
xtdc	穴道、学到	学到、穴道
